,wk_1,wk_2,wk_3,wk_4,wk_5,wk_6,wk_7,wk_8,wk_9,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17,wk_18,wk_19,wk_20,wk_21,wk_22,wk_23,wk_24,wk_25,wk_26,wk_27,wk_28,wk_29,wk_30,wk_31,wk_32,wk_33,wk_34,wk_35,wk_36,wk_37,wk_38,wk_39,wk_40,wk_41,wk_42,wk_43,wk_44,wk_45,wk_46,wk_47,wk_48,wk_49,wk_50,wk_51,wk_52,wk_53
431,0.029106289,0.0349231895,0.040036962999999995,0.0443533676,0.0424214816,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054
432,0.0349231895,0.040036962999999995,0.0443533676,0.0424214816,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538
433,0.040036962999999995,0.0443533676,0.0424214816,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998
434,0.0443533676,0.0424214816,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415
435,0.0424214816,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925
436,0.0439718615,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925,0.0201839094
437,0.039025564900000004,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925,0.0201839094,0.02103851
438,0.0315072752,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925,0.0201839094,0.02103851,0.0209554934
439,0.0272422336,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925,0.0201839094,0.02103851,0.0209554934,0.0210398319
440,0.0233335625,0.0192500031,0.0175242604,0.0157703655,0.0135765577,0.0131223099,0.0114937467,0.0111450566,0.011098448899999998,0.0105240256,0.0103536473,0.011177658200000001,0.009829494499999999,0.0092519444,0.0083553111,0.008323926700000001,0.0085559101,0.0070694942,0.006943868000000001,0.0068797617000000005,0.0064474299,0.0067532985,0.0072822971,0.0080652626,0.0086040844,0.0093607537,0.009666827,0.0099600708,0.0110846352,0.0120344598,0.012377728400000001,0.0125258649,0.0130546118,0.014529524399999999,0.014408922099999999,0.0146221154,0.0165573428,0.014660580500000001,0.0151810613,0.0166429439,0.0185273557,0.0212412992,0.0176708697,0.0154340054,0.0164761538,0.016842972299999998,0.018635415,0.0186407925,0.0201839094,0.02103851,0.0209554934,0.0210398319,0.0229409955
